,Program,Program_Code,Degrees,Mode_of_study,Link,School,College,Tution fees,ID
175,"Energy, Society and Sustainability ",PTMSCENSOS1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCENSOS1F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£16,100', 'Rest of UK': '£16,100', 'International/EU': '£32,000', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",934
176,Engineering,PRPHDENPHD1F,"PhD, MPhil",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDENPHD1F,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,200'}",947
177,English Language,PTMSCENGLA1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCENGLA1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",282
178,English Language,PRMSCENGLA1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCENGLA1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",605
179,English Literature,PRMSCENGL11F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCENGL11F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",254
180,English Literature ,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDENLIT1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1014
181,English Literature: Literature and Modernity: 1900 to the Present,PTMSCENLLM1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCENLLM1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",177
182,"English Literature: Literature and Society: Enlightenment, Romantic and Victorian",PTMSCLITSV1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCLITSV1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",426
183,Entrepreneurship and Innovation,PTMSCENTIN1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCENTIN1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£16,100', 'Rest of UK': '£16,100', 'International/EU': '£25,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",897
184,Environment and Development,PTMSCENVDE1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCENVDE1F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£18,000', 'Rest of UK': '£18,000', 'International/EU': '£34,600', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",30
