,Program,Program_Code,Degrees,Mode_of_study,Link,School,College,Tution fees,ID
270,Human Complex Trait Genetics,PTMSCHCTGE1F,"MSc, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCHCTGE1F,Biological Sciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£19,100', 'Rest of UK': '£19,100', 'International/EU': '£38,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",765
271,Human Geography,PRMSCGEOPY3F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCGEOPY3F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': '£500'}",86
272,Human Geography and Environmental Sciences,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDGEOPY1F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£500'}",105
273,Human Osteoarchaeology,PTMSCHUMOS1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCHUMOS1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",42
274,Human Resource Management,PTMSCHUMRM1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCHUMRM1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",755
275,Human Rights,PTLLMHUMRI1F,LLM,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMHUMRI1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£25,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",845
276,Illustration,PTMARTILLU1F,MA (eca),Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMARTILLU1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",736
277,Imaging (Online Learning),PTMSCIMAGI1U,"MSc, PgDip (ICL), PgCert (ICL), PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCIMAGI1U,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,Not applicable,815
278,Immunology and Infection Research,No Program Code,Under review,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=488,Biological Sciences,Science & Engineering,Not applicable,488
279,Inclusive Education,PTMSCINCED1U,"MSc, PgDip (ICL), PgCert (ICL), PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCINCED1U,Education and Sport (Moray House),"Arts, Humanities & Social Sciences",Not applicable,378
280,Infection and Immunity,No Program Code,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDINFIM1F,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': 'Yes, costs vary'}",831
281,Infection Medicine,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDINFME1F,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",399
282,Infectious Diseases,PRMSCINFDS1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCINFDS1F,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': '£4,000'}",195
283,Inflammation,No Program Code,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMEDRAFF,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",215
284,"Informatics: AIAI: Foundations and Applications of Artificial Intelligence, Automated Reasoning, Agents, Data Intensive Research",PRPHDINFM10F,"PhD, MPhil, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDINFM10F,Informatics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",494
285,"Informatics: ANC: Machine Learning, Computational Neuroscience, Computational Biology",PRPHDINFMT1F,"PhD, MPhil, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDINFMT1F,Informatics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",489
286,"Informatics: ICSA: Computer Architecture, Compilation and System Software, Networks and Communication",PRPHDINFMT6F,"PhD, MPhil, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDINFMT6F,Informatics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",492
287,"Informatics: ILCC: Language Processing, Speech Technology, Information Retrieval, Cognition",PRPHDLNGCC1F,"PhD, MPhil, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDLNGCC1F,Informatics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",491
288,"Informatics: IPAB: Robotics, Computer Vision, Computer Graphics and Animation",PRPHDINFMT2P,"PhD, MPhil, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDINFMT2P,Informatics,Science & Engineering,Not applicable,495
289,"Informatics: LFCS: Theory and Foundations of Computer Science, Databases, Software and Systems Modelling",PRPHDINFMT7F,"PhD, MPhil, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDINFMT7F,Informatics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",493
290,Information Technology Law (Online Learning),PTLLMITLDL1F,LLM,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMITLDL1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£24,700', 'Additional Programme Costs': ''}",502
291,Infrastructure and the Environment,No Program Code,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCENGEL3F,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",26
292,"Innovation, Technology and the Law",PTLLMINFTL1F,LLM,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMINFTL1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£25,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",503
293,"Innovation, Technology and the Law (Online Learning)",PTLLMINFTD1F,LLM,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMINFTD1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£24,700', 'Additional Programme Costs': ''}",164
294,Integrated Micro and Nano Systems (IMNS),No Program Code,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCENGEL4F,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",27
295,Integrative Biomedical Sciences (Based in China),No Program Code,PhD,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=969,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,Not applicable,969
296,Integrative Biomedical Sciences (Based in China),PRMSCINBMS1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCINBMS1F,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': 'International/EU fees have still to be agreed', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",1039
297,Integrative Physiology (Biomedical Sciences - Centre for Discovery Brain Sciences),No Program Code,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDINTPH1F,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': 'Yes, costs vary'}",400
298,Intellectual History,PTMSCINTHI1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCINTHI1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",374
299,Intellectual Property Law,PTLLMINTPR1F,LLM,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMINTPR1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£25,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",641
300,"Interior, Architectural and Spatial Design",PTMARINASD1F,MA (eca),Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMARINASD1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",737
301,Intermediality ,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDINTER1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1085
302,"Intermediality: Literature, Film and the Arts in Dialogue",PTMSCILFAD1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCILFAD1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",987
303,Internal Medicine (Online Learning),PTMSCINTMD1P,"MSc, PgCert, PgDip, PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCINTMD1P,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£6,370', 'Additional Programme Costs': '£0'}",692
304,International and European Politics,PTMSCINEUP1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCINEUP1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£27,100', 'Rest of UK': '£27,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",303
305,International Animal Health (Online Learning),PTMSCINTAH1U,"MSc, PgDip (ICL), PgCert (ICL), PgCert, PgDip, PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCINTAH1U,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,Not applicable,241
306,"International Animal Welfare, Ethics and Law (Online Learning)",PTMSCIAWEL2P,"MSc, PgDip (ICL), PgCert (ICL), PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCIAWEL2P,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,Not applicable,788
307,International Banking Law and Finance,PTLLMIBLFI1F,LLM,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMIBLFI1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£25,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",859
308,International Commercial Law and Practice (Online Learning),PTLLMINCLP1F,LLM,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMINCLP1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£24,700', 'Additional Programme Costs': ''}",825
309,International Development,PRPHDINTDE1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDINTDE1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",850
310,International Development,PTMSCINTER1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCINTER1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",681
311,International Development (Online Learning),PTMSCINTER2P,MSc,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCINTER2P,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£9,000', 'Additional Programme Costs': ''}",945
312,International Economic Law,PTLLMINTEL1F,LLM,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMINTEL1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£25,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",686
313,International Human Resource Management,PTMSCINHRM1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCINHRM1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",880
314,International Law,PTLLMINTLA1F,LLM,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMINTLA1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£25,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",166
315,International Master of Science in Fire Safety Engineering,No Program Code,MSc,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=806,Engineering,Science & Engineering,Not applicable,806
316,International Relations,PTMSCINTRE1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCINTRE1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£27,100', 'Rest of UK': '£27,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",687
317,Islam and Christian-Muslim Relations,PTMSCISCHR1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCISCHR1F,Divinity,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",989
318,Islamic and Middle Eastern Studies,PTMSCISLAM1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCISLAM1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",181
319,Islamic and Middle Eastern Studies (IMES),PRMSCISLAM1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCISLAM1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",259
320,Islamic and Middle Eastern Studies (IMES),No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDISLAM1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1020
321,Islamic Studies and Christian-Muslim Relations,No Program Code,"PhD, MPhil",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDDIVINDF,Divinity,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",926
322,Italian,PRMSCITALN1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCITALN1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",260
323,Italian,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDITALN1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1021
324,Japanese,PRMSCJAPAN1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCJAPAN1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",261
325,Japanese,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDJAPAN1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1022
326,Korean Studies,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDKORST1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1023
327,Korean Studies,PTMSCKORST1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCKORST1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",973
328,Korean Studies,PRMSCKORST1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCKORST1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",974
329,Landscape and Wellbeing,PTMSCLANWE1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCLANWE1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",920
330,Landscape Architecture,PTMLALANDS1F,MLA,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMLALANDS1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",749
331,Landscape Architecture,No Program Code,"PhD, MPhil",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDPLARC1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",758
332,Language and Intercultural Communication,PTMSCLANIC1U,"MSc, PgDip (ICL), PgCert (ICL), PgCert, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCLANIC1U,Education and Sport (Moray House),"Arts, Humanities & Social Sciences",Not applicable,1006
333,Language Education,PTMSCLANED1F,"MSc, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCLANED1F,Education and Sport (Moray House),"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",285
334,"Late Antique, Islamic and Byzantine Studies",PTMSCLATEA1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCLATEA1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",794
335,Law,PTLLMLAWAA1F,LLM,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMLAWAA1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£25,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",167
336,Law,PRPHDLAWAA1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDLAWAA1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': '£100'}",168
337,Law,PRLLMLAWAA1F,LLM by Research,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRLLMLAWAA1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': '£100'}",993
338,Law (Online Learning),PTLLMLAWAB1F,LLM,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMLAWAB1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£24,700', 'Additional Programme Costs': ''}",767
339,Law (Online Learning),PTPGCLAWAA1F,PgCert,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTPGCLAWAA1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£8,230', 'Additional Programme Costs': ''}",782
340,Leadership and Learning,No Program Code,MEd,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=976,Education and Sport (Moray House),"Arts, Humanities & Social Sciences",Not applicable,976
341,Leading Major Programmes,No Program Code,"MSc, PgDip, PgCert",Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=994,Engineering,Science & Engineering,Not applicable,994
342,Linguistics,PRMSCTALIN1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCTALIN1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",437
343,Linguistics,PTMSCLINGU1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCLINGU1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",908
344,Linguistics and English Language,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDLIENG1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",293
